id;nomprojet;description;datedebut;datefin
1;Gourde calculating;transmitting national multi-state;2022-08-24T19:51:41;2022-08-24T19:06:37
2;generate;b Lorraine;2022-08-24T08:39:43;2022-08-24T21:24:58
3;b;payment withdrawal;2022-08-24T02:23:40;2022-08-25T00:45:48
4;Personal;cross-platform gold;2022-08-24T21:47:59;2022-08-24T09:49:15
5;open-source withdrawal;payment bleeding-edge;2022-08-24T08:24:08;2022-08-24T23:10:54
6;methodologies c Gorgeous;lavender ivory Soap;2022-08-24T22:12:52;2022-08-24T05:55:03
7;Automotive;Keyboard Fresh;2022-08-24T17:36:32;2022-08-24T22:36:42
8;b integrate Barbade;Lesotho;2022-08-24T09:33:15;2022-08-24T06:51:51
9;Open-architected generation;transmitting Account;2022-08-24T10:49:42;2022-08-24T14:20:16
10;auxiliary;grey application;2022-08-24T17:57:47;2022-08-24T15:54:55
